País;Total Casos;Total Muertes;Poblacion;Muertes Tuberculosis;Gasto_Salud_%_PBI
Afghanistan;49273;1971;38041757;9800;9,40
Albania;48530;1003;2862427;8;5,26
Algeria;92102;2596;43053054;2800;6,22
Andorra;7338;79;76177;0;6,71
Angola;16188;371;31825299;17000;2,55
Argentina;1498160;40766;44780675;570;9,62
Armenia;148682;2503;2957728;1;10,03
Australia;28031;908;25203200;49;9,28
Austria;320036;4400;8858775;35;10,33
Azerbaijan;175874;1922;10047719;590;3,51
Bahamas;7674;163;389486;0;6,25
Bahrain;89143;348;1641164;8;4,13
Bangladesh;490533;7052;163046173;38000;2,34
Barbados;292;7;287021;3;6,56
Belarus;160295;1263;9452409;270;5,64
Belgium;608001;17951;11455519;33;10,32
Belize;9295;195;390351;9;5,69
Benin;3090;44;11801151;920;2,49
Bhutan;438;0;763094;140;3,06
Bolivia;147150;9018;11513102;1200;6,30
Bosnia and Herzegovina;101117;3336;3300998;93;8,90
Botswana;12501;37;2303703;650;5,85
Brazil;6901952;181402;211049519;4900;9,51
Brunei Darussalam;152;3;433296;14;2,41
Bulgaria;179449;5688;7000039;110;7,35
Burkina Faso;4030;71;20321383;2000;5,63
Burundi;729;1;11530577;2400;7,74
Cambodia;359;0;16486542;2900;6,03
Cameroon;25143;443;25876387;7400;3,53
Canada;460743;13431;37411038;97;10,79
Cabo Verde;11357;110;549936;23;5,36
Central African Republic;4936;63;4745179;4600;10,99
Chad;1770;102;15946882;3500;4,10
Chile;571919;15886;18952035;400;9,14
China;92021;4739;1433783692;31000;5,35
Colombia;1425774;39053;50339443;1300;7,64
Comoros;628;7;850891;79;4,59
Congo;6049;99;5380504;2800;2,14
Costa Rica;150947;1895;5047561;32;7,56
Côte d'Ivoire;21680;133;25716554;5500;4,19
Croatia;175886;2640;4076246;40;6,83
Cuba;9423;137;11333484;36;11,19
Cyprus;15101;78;875899;3;6,77
Czechia;581079;9609;10649800;36;7,65
Congo;14512;355;86790568;2800;2,14
Denmark;109758;941;5806081;18;10,07
Djibouti;5728;61;973557;240;2,32
Dominica;87;0;71808;3;6,59
Dominican Republic;154692;2361;10738957;190;5,73
Ecuador;202110;13875;17373657;570;8,14
Egypt;121575;6920;100388076;430;4,95
El Salvador;41880;1205;6453550;60;7,11
Equatorial Guinea;5185;85;1355982;320;3,00
